ENV_VAR_NAME,FIRST_FILE,FIRST_LINE
TRANSFORMERS_QUERY_INFERENCE_API,./modules/text2vec-transformers/module.go,95
TRANSFORMERS_WAIT_FOR_STARTUP,./modules/text2vec-transformers/module.go,117
TX_SLOW_LOG_AGE_THRESHOLD_SECONDS,./usecases/cluster/transactions_slowlog.go,28
TX_SLOW_LOG_CHANGE_THRESHOLD_SECONDS,./usecases/cluster/transactions_slowlog.go,35
USAGE_GCS_BUCKET,./modules/usage-gcs/module.go,138
USAGE_GCS_PREFIX,./modules/usage-gcs/module.go,146
USAGE_POLICY_VERSION,./usecases/modulecomponents/usage/base_storage.go,167
USAGE_S3_BUCKET,./modules/usage-s3/module.go,138
USAGE_S3_PREFIX,./modules/usage-s3/module.go,146
USAGE_SCRAPE_INTERVAL,./usecases/modulecomponents/usage/base_storage.go,155
USAGE_SHARD_JITTER_INTERVAL,./usecases/modulecomponents/usage/base_storage.go,176
USAGE_VERIFY_PERMISSIONS,./usecases/modulecomponents/usage/base_storage.go,189
USE_BLOCKMAX_WAND,./adapters/repos/db/inverted/bm25_searcher.go,108
USE_GOOGLE_AUTH,./modules/generative-google/module.go,75
USE_GSE,./usecases/schema/class.go,812
USE_INVERTED_SEARCHABLE,./usecases/config/config_handler.go,60
VERSION,./tools/release_template/main.go,29
VOYAGEAI_APIKEY,./modules/reranker-voyageai/module.go,66
WEAVIATE_TEST_COPY_REPLICA_SLEEP,./cluster/replication/copier/copier.go,132
XAI_APIKEY,./modules/generative-xai/module.go,64
